	302D	303D	305D	306D	307D	308D	311D	312D	313D	314D	315D	316D	317D	318D	320D	322D	324D	327D	328D	330D	331D	332D	334D	335D	336D	337D	338D	340D	342D	343D	344D	347D	349D	350D	351D	352D	353D	354D	355D	356D	368D	371D	374D	377D	378D	379D	381D	383D	384D	388D	389D	392D	395D	398D	399D	400D	401D	402D	403D	407D	408D	409D	410D	411D
	6.46888017	4.385016198	4.438928235	3.941139538	2.956010708	4.30491502	2.456804447	2.920879526	2.554757601	1.951599563	2.396983581	2.72231576	4.153546749	3.031883484	2.790943054	3.230400117	3.345126372	3.100051422	3.910849461	3.444930548	3.392609648	3.712689686	4.390484518	3.008639579	3.666074626	2.586576872	3.892454998	2.221575695	1.941056567	3.299489378	2.974108834	2.12001706	3.840575577	2.217025961	3.577122657	2.476161135	2.80377083	2.650061122	2.209070632	1.23376155	2.6898198	3.409144814	2.612811695	2.708255954	2.457609479	2.785127696	5.078414144	3.405199462	3.60106589	3.695451105	1.883460503	1.522818224	2.188285579	4.303590533	4.430631139	3.010488245	2.113814302	1.756765397	1.794245484	2.021932768	1.875686358	2.065571923	2.47028244	2.463164154
	8.157001256	5.533073776	3.786016619	3.550563248	5.488171208	4.586938946	5.111632347	4.975754687	3.79956075	4.808895194	2.596168016	6.568888785	3.537925708	2.791254383	5.47884726	6.543185725	5.279320269	8.56209234	5.827303116	5.256008441	4.777727749	4.710743915	4.6768585	4.9198831	5.678838987	3.988831165	5.643818451	6.615097769	3.256440627	5.427347385	5.942919808	4.023585491	2.287223183	4.424812751	3.231043131	3.879713078	3.477325666	3.992567538	4.396766123	2.550860719	4.046829149	3.007387931	3.492749166	4.418514082	2.611643053	2.348083196	4.359194892	6.770898621	2.205861933	3.695451105	2.591000196	2.269552712	2.883453871	7.887044961	1.982667008	3.472331485	2.673707202	2.222188816	2.039601705	2.378103784	2.286388358	3.273715989	2.654495307	3.245214728
	4.52850802	4.24816478	4.41088167	3.89194101	5.3113206	3.85196987	3.222969502	2.826312239	2.554757601	2.270299524	2.619827859	2.867851565	2.404021463	5.486011699	2.749242557	4.446131908	3.192019074	3.082303081	3.735211754	5.076953833	3.927375979	4.489066936	3.250060074	2.066500365	3.468613708	3.057183406	2.973447531	3.041751996	1.682790106	3.50712457	3.153741514	3.285752814	1.982846595	4.038478712	2.458098604	2.667213255	2.130826869	1.669184364	2.760091757	2.4692454	3.052144871	2.213275567	2.320106914	2.005684004	2.072817936	3.913994317	3.304749759	2.958332253	2.433626217	2.109999215	3.545596326	1.7601685	1.983067074	3.35511703	3.696654028	2.458170317	2.837351396	1.871879274	2.345232148	1.942165397	2.698065063	2.178604544	2.358268941	2.366938323
	44.14939495	80.37385211	62.08450274	57.41777667	100.7389077	85.72559756	38.32041867	61.19764089	36.43029626	30.53471981	27.30401217	52.78727508	43.13331195	60.76303018	37.2814301	50.90887458	24.50409398	32.66427205	33.39761584	53.58985675	39.84117299	56.69402539	69.93645917	76.66187445	30.81903665	20.72819223	107.5403901	84.48255699	36.1100822	142.8408342	84.94782693	34.09163209	44.6226153	42.31420178	49.33637203	66.060931	38.38500907	20.28592777	32.91989201	31.4943826	46.98878688	58.3165739	37.21098714	88.95885132	45.88502197	38.27518786	93.58397961	87.39415191	43.72009399	48.76737859	40.40113925	52.59964908	25.44528711	46.05251032	15.15970009	35.78193242	23.3034535	18.28726669	12.65641782	24.33819343	56.00721094	74.51612133	67.78039574	89.24787906
	6.227137397	5.476846062	6.726356205	4.094347354	7.681615613	10.24566467	6.132597749	4.199241068	3.736740615	2.402310135	3.199004366	5.256435517	5.78425464	8.575320071	4.151239655	7.831494211	4.295885799	3.030014313	4.632741443	5.972416441	3.837032972	8.288521923	5.08973305	3.588271847	4.778577449	3.251889159	6.996637329	8.122045934	1.926615971	5.38744153	6.459305664	1.973416561	2.253483174	3.631493047	4.102800864	4.242336702	2.613444083	2.501839184	2.209070632	6.338356052	4.273146178	3.926304646	2.517089277	2.919246215	3.52293996	2.785127696	4.136491159	4.633220141	3.142491144	4.444834032	5.208872314	2.508503313	2.452018272	4.834028378	2.590538324	2.701631504	2.673707202	5.167056784	2.496305529	2.356998552	1.842712385	2.301542696	3.538824802	3.485130872
	97.34939285	82.07385211	58.68450274	27.81803865	83.03890772	66.72559756	37.12041867	29.69764321	31.83029629	47.63471981	37.20401216	29.98727669	29.233315	62.46303018	37.6814301	88.10887458	27.59537464	32.16427417	22.70847235	57.18985675	21.9562389	62.29402539	45.53645917	32.16187445	36.71901548	19.52850788	55.84039015	54.98255699	22.41008974	65.84083418	54.94782693	25.59163619	6.196793614	4.767945451	45.43637203	10.34363786	6.635169627	24.48590852	6.140704503	34.3943826	10.8642394	17.82009743	4.74753767	16.96268397	40.68502197	17.27607221	22.88412871	7.571852108	38.32009399	14.87261683	19.2022124	15.99981667	7.125125862	37.95251273	9.749479519	8.151481639	8.067293441	5.167056784	17.00161646	14.84322115	16.7074591	11.65171932	22.88041695	14.30262814
	6.504432936	6.412798939	4.703122262	4.094347354	4.071711674	3.928681541	2.646720276	3.578636727	3.499465045	1.886872797	2.527077225	3.615389516	3.511943552	3.645447767	2.348122059	4.415128769	5.574343266	3.449042365	3.799645384	3.526282985	4.142664554	4.844187036	5.056237341	3.008639579	3.905952663	3.913119601	4.413915521	4.691953648	2.063230198	3.421727146	3.74883714	2.192701384	3.56318545	2.552067278	1.730441789	3.329241782	2.525477032	1.874836224	2.339532349	1.936356621	4.249668931	3.294779201	2.383080594	3.127832028	2.421320669	2.040417563	3.766020968	5.615918662	2.524185957	2.358320783	2.964254294	3.10438206	1.580654058	3.855006224	3.004929668	2.177058138	2.607893942	2.780526194	3.160923439	1.838777253	1.926947778	1.928692323	3.410984385	2.713598932
	14.94567726	13.17037181	19.91703268	12.67008727	23.44759828	7.069407348	5.699048294	8.602436272	10.29438495	4.133308997	7.307240304	10.72764614	9.448285057	11.65040309	9.521591439	11.55670196	6.517567182	6.153330768	10.55178174	15.74443495	7.502114946	18.23790069	10.46906195	6.25877742	7.925500993	6.587473664	13.66519474	8.94132404	4.984721013	33.24083648	19.85479659	4.58314807	3.224673966	9.525834307	7.642459549	9.272537941	3.99912615	4.176029856	5.94486288	5.26286632	4.046829149	3.294779201	7.106680044	5.621985902	4.114745335	1.635220271	9.485209565	11.40744815	4.73873333	5.024240569	4.913006256	5.604755471	6.810017073	8.32798713	5.187862959	3.758686804	4.547366956	7.496311545	6.032541454	4.513074578	4.667309999	11.26236232	6.353030475	5.83906848
	4.52850802	3.496113265	3.970910578	4.201352352	5.488171208	4.979440021	3.247846513	2.901574099	2.702042225	3.061270362	2.596168016	2.7575886	3.672114685	3.441069335	2.728750381	8.874110277	3.329284649	3.172685032	3.345712093	3.425045347	4.020952295	4.224895566	3.356825956	3.460490057	4.114877941	2.953406442	3.421157119	4.422262261	2.580861526	3.986275232	4.382968403	2.904171341	2.880736733	2.648444506	2.929248912	1.879234684	2.215525581	3.536695582	2.089757855	1.900112191	3.066074079	2.843358074	2.259657974	2.799114507	3.094066404	1.962040669	2.445021466	2.167527719	2.561901733	2.488465259	2.82371986	2.566489435	1.821808035	3.150239908	2.109921772	2.678027969	2.226721427	1.934299134	2.025327504	2.107090963	1.794971518	2.102207364	2.096063661	2.733005881
	833.7493929	945.3738521	944.2845027	495.6177767	784.8389077	545.3255976	370.8204187	295.1976409	401.7302963	380.5347198	308.7040122	398.8872751	423.833312	559.3630302	456.3814301	748.7088746	391.2928638	342.3642678	386.3975984	341.3898567	349.2411729	599.5940254	571.8364592	520.3618744	581.3190153	350.328022	689.7403901	494.482557	242.6100822	771.8408342	602.7478269	301.1916321	306.9226153	409.0142018	328.436372	459.360931	448.3850091	311.2859084	224.319892	241.1943826	324.4887869	508.7165739	297.3109871	388.6588513	293.085022	209.5751879	622.5839796	500.2941519	327.420094	257.7673786	401.2011392	325.8996491	254.9452871	483.2525103	259.8179967	319.5819324	327.8034439	204.68574	237.7983207	243.5381932	458.0072109	392.6161213	447.1803957	383.3478791
	118.0493929	112.9738521	87.08450274	242.0177767	120.0389077	103.9255976	54.82041867	101.9976409	73.13029626	81.53471981	39.10401216	53.88727508	54.73331195	56.46303018	67.0814301	57.30887458	33.4929525	51.2642678	58.79759841	62.28985675	40.84117293	59.09402539	51.83645917	60.56187445	32.11902312	45.22802199	93.44039015	108.482557	111.0100822	57.14083418	53.14782693	37.99163209	16.3285696	29.41420187	51.33637203	45.660931	20.98506077	6.162929382	21.41991554	54.9943826	16.34532513	13.18111434	35.11098714	18.95966253	32.78502197	43.37518786	70.78397961	29.7941521	53.92009399	61.96737859	40.00113925	28.69964908	39.3452871	47.15251032	22.82125212	35.28193242	27.40344399	19.28642421	15.01180363	16.63931099	72.60721094	133.9161213	33.88039574	62.54787906
	20.22467224	13.86128342	11.00453921	3.18008628	5.488171208	6.602922689	3.569517688	4.621764129	5.026246503	3.487533065	3.846056987	5.577583538	4.843776203	9.21113708	4.544831722	4.384425457	2.855824381	2.438406761	3.455649492	7.283057478	2.457703998	6.345786822	7.25140262	6.322062984	6.026206642	3.950740086	16.68540423	3.475762637	2.449630341	6.307957688	6.405491876	3.313737563	3.032497599	3.448913681	4.622886515	3.298459318	4.342378248	2.125163867	2.12277704	2.200570541	4.025199965	1.905002662	2.93422525	2.18271146	2.919406113	1.917333461	10.95018526	2.914146873	4.044758252	2.277260093	2.269680724	2.452363308	1.534255717	3.439681736	4.556629259	2.283132023	2.038729378	2.305154046	2.381629776	3.91113838	3.536652899	2.58124406	2.394705089	4.777992565
	212.6493929	224.5738521	188.6845027	105.3177767	232.0389077	227.2255976	61.32041867	84.89764089	66.53029626	41.63471981	49.70401216	60.88727508	84.33331195	115.0630302	50.0814301	127.6088746	65.69286379	36.06426803	56.19759841	66.08985675	56.14117289	178.9940254	208.6364592	122.1618744	123.4190153	79.52802199	263.8403901	117.182557	67.4100822	247.9408342	231.5478269	100.9916321	69.7226153	113.0142018	123.836372	116.260931	59.68500907	49.38590841	47.51989201	62.9943826	53.78878687	54.0165739	65.41098714	122.7588513	94.38502197	57.37518786	145.4839796	127.9941519	70.72009399	116.1673786	67.60113925	80.09964908	41.8452871	87.45251032	58.61799666	64.58193242	55.5034439	39.08574001	39.09832068	73.53819317	76.10721094	95.61612133	99.48039574	127.0478791
	151.8493929	84.87385211	69.08450274	40.31777668	91.83890772	99.92559756	34.62041867	42.59764089	39.03029626	35.83471981	39.00401216	38.78727508	43.23331195	57.86303018	40.5814301	107.0088746	18.71217073	22.967806	63.99759841	43.98985675	34.14118225	82.79402539	45.23645917	40.26187445	73.21901532	54.32802199	61.34039015	72.38255699	12.74365311	56.84083418	62.24782693	21.19188362	10.97581383	22.21433096	38.53637203	14.7742902	7.066459321	9.907236137	7.056354116	20.79438349	6.94780642	11.84649155	12.8325585	15.2713782	24.08503486	10.67850355	54.08397961	16.90533078	19.4212005	9.635151663	13.35489842	16.59973272	11.87266374	28.65349803	4.687601654	8.399075102	15.7108862	6.452153834	6.682751453	13.05725107	9.885388828	9.458236314	20.18066297	16.06835951
	56.34939285	66.17385211	49.48450274	64.41777667	50.93890772	62.32559756	45.92041867	31.0976415	23.83036971	17.03510996	27.10401217	43.28727508	17.25384518	32.16303019	92.7814301	69.70887458	26.69681428	36.76426792	7.232781811	17.27332332	64.14117289	52.69402539	42.13645918	75.86187445	128.6190153	20.92816406	48.44039015	54.38255699	24.01008341	95.24083418	69.34782693	32.99163209	34.1226153	38.51420178	35.43637203	56.660931	52.28500907	51.18590841	43.51989201	21.69438285	43.98878691	30.81657391	81.51098714	46.15885132	18.68651456	29.77518786	83.18397961	113.8941519	42.72009399	22.76738071	37.90113925	33.29964908	77.8452871	34.75253342	24.11949114	55.48193242	18.20455409	15.39803958	3.876350186	11.49222209	54.10721094	51.51612133	49.88039574	61.84787906
